"","sex","birth","marriage","religion","income","code_job","code_region"
"166",2,1982,1,1,NA,NA,2
"167",2,2014,0,2,NA,NA,2
"168",1,2016,0,2,NA,NA,2
"169",1,1942,1,1,NA,NA,1
"170",2,1949,1,1,NA,NA,1
"171",1,1998,5,2,NA,NA,1
"172",2,1980,1,2,NA,NA,1
"173",1,1980,1,2,504,222,1
"174",2,2016,0,2,NA,NA,1
"175",1,1975,1,2,744,223,1
"176",2,1974,1,2,516,252,1
"177",2,2006,0,2,NA,NA,1
"178",2,2008,0,2,NA,NA,1
"179",2,2011,0,2,NA,NA,1
"180",2,1957,3,2,160,421,5
"181",2,1943,2,1,110,941,1
"182",1,1973,5,1,280,521,1
"183",1,1960,1,1,417,314,1
"184",2,1966,1,1,167,510,1
"185",2,1943,2,1,45,941,1
"186",2,1971,1,1,100,259,1
"187",2,1998,5,2,NA,NA,1
"188",2,1999,5,2,NA,NA,1
"189",1,1968,1,2,250,771,1
"190",1,1958,1,1,275,721,1
"191",2,1958,1,1,NA,NA,1
"192",1,1986,1,2,207,159,1
"193",1,1984,5,1,258,245,1
"194",2,1984,1,2,NA,NA,1
"195",1,2013,0,2,NA,NA,1
"196",1,1966,1,1,456,862,1
"197",2,1968,1,1,NA,NA,1
"198",1,2000,0,1,NA,NA,1
"199",1,1974,1,2,253,773,1
"200",2,1973,1,2,167,930,1
"201",2,2003,0,2,NA,NA,1
"202",1,2004,0,2,NA,NA,1
"203",1,1959,1,1,264,741,1
"204",2,1959,1,1,162,441,1
"205",2,1984,1,2,NA,NA,2
"206",1,1986,1,1,317,312,1
"207",1,1979,1,2,608,285,2
"208",1,1960,1,2,154,941,1
"209",2,1960,1,1,74,941,1
"210",1,1988,5,2,210,510,1
"211",1,1985,5,2,427,221,1
"212",2,1960,4,1,160,953,1
"213",1,1987,5,1,150,152,1
"214",2,1943,4,1,85,941,1
"215",2,1971,5,2,236,422,1
"216",1,1959,1,2,NA,873,1
"217",2,1965,1,2,50,442,1
"218",1,1987,5,2,207,521,1
"219",2,1988,5,2,260,313,1
"220",1,1938,3,1,NA,NA,1
"221",2,1939,2,2,NA,NA,1
"222",1,1964,5,2,212,751,1
"223",1,1969,1,2,301,312,1
"224",2,1977,1,2,193,314,1
"225",2,1939,2,1,NA,NA,1
"226",2,2006,0,2,NA,NA,1
"227",1,2010,0,2,NA,NA,1
"228",2,1971,1,1,283,312,2
"229",1,1966,1,1,208,251,2
"230",1,2011,0,1,NA,NA,2
"231",1,1965,5,1,NA,NA,1
"232",2,1958,3,1,210,521,1
"233",1,1987,5,1,208,312,1
"234",1,1938,2,2,NA,NA,1
"235",2,1942,2,1,NA,NA,1
"236",1,1925,1,2,NA,NA,1
"237",2,1936,1,2,NA,NA,1
"238",2,1953,2,1,NA,NA,1
"239",1,1978,1,1,617,753,1
"240",1,1979,1,1,503,141,2
"241",2,1979,1,1,NA,NA,1
"242",1,2009,0,1,NA,NA,1
"243",1,2011,0,1,NA,NA,1
"244",2,1983,1,2,NA,NA,2
"245",2,1946,3,1,NA,NA,1
"246",1,1957,5,2,NA,NA,1
"247",2,1934,2,1,24,941,1
"248",2,1958,4,1,120,951,1
"249",2,1983,1,1,409,320,1
"250",1,1984,1,2,358,761,1
"251",1,1975,1,1,492,311,1
"252",2,1984,1,2,NA,NA,1
"253",1,2014,0,1,NA,NA,1
"254",2,2013,0,2,NA,NA,1
"255",2,2015,0,1,NA,NA,1
"256",1,1945,3,2,NA,NA,2
"257",2,1982,5,1,NA,NA,2
"258",2,1957,2,1,NA,951,1
"259",2,1979,1,2,160,320,1
"260",1,1982,5,1,285,320,1
"261",1,1975,1,2,410,231,1
"262",1,2012,0,2,NA,NA,1
"263",1,2015,0,2,NA,NA,1
"264",1,1932,1,2,NA,NA,1
"265",2,1940,1,2,NA,NA,1
"266",1,1952,1,1,NA,NA,1
"267",2,1949,1,1,NA,NA,1
"268",1,1952,1,1,NA,NA,1
"269",2,1950,1,1,NA,NA,1
"270",2,1980,5,1,NA,NA,1
"271",1,1967,1,2,NA,873,1
"272",2,1968,1,2,210,422,1
"273",2,1995,5,2,130,442,1
"274",1,2000,0,2,NA,NA,1
"275",1,1973,1,1,492,312,1
"276",2,1976,1,1,NA,NA,1
"277",1,2006,0,1,NA,NA,1
"278",1,1973,1,2,458,312,1
"279",2,1973,1,2,150,521,1
"280",2,2000,0,2,NA,NA,1
"281",1,2002,0,2,NA,NA,1
"282",2,1962,1,2,54,247,1
"283",1,1990,5,2,60,521,1
"284",2,1991,5,2,90,284,1
"285",1,1947,1,1,NA,NA,1
"286",2,1958,1,1,NA,422,1
"287",1,1976,1,1,NA,941,1
"288",2,1981,1,1,100,254,1
"289",1,2008,0,1,NA,NA,1
"290",2,1951,2,1,NA,NA,1
"291",2,1933,2,1,NA,NA,1
"292",1,1976,1,2,385,245,2
"293",2,1977,1,2,NA,NA,2
"294",1,2004,0,2,NA,NA,2
"295",1,2007,0,2,NA,NA,2
"296",1,1933,1,1,NA,NA,1
"297",2,1936,1,1,NA,NA,1
"298",1,1958,1,2,NA,873,1
"299",2,1962,1,2,NA,NA,1
"300",1,1988,5,2,232,245,1
"301",1,1977,1,2,466,441,7
"302",2,1977,1,2,175,246,7
"303",2,2007,0,2,NA,NA,7
"304",2,2009,0,2,NA,NA,7
"305",1,2011,0,2,NA,NA,7
"306",1,1979,1,2,362,222,2
"307",2,1979,1,2,NA,NA,2
"308",1,2007,0,2,NA,NA,2
"309",2,2013,0,2,NA,NA,2
"310",2,1946,2,2,NA,NA,2
"311",1,1944,1,1,NA,873,1
"312",2,1952,1,1,NA,NA,1
"313",1,1972,5,2,NA,521,1
"314",1,1944,1,1,272,942,2
"315",2,1952,1,1,NA,521,2
"316",1,1946,1,2,150,942,1
"317",2,1948,1,1,NA,NA,1
"318",2,1936,2,2,NA,NA,1
"319",1,1935,1,1,NA,NA,1
"320",1,1977,1,1,488,510,2
"321",2,1979,1,1,180,312,2
"322",1,2006,0,1,NA,NA,2
"323",2,2008,0,1,NA,NA,2
"324",1,1960,5,2,330,910,1
"325",2,1930,2,1,NA,NA,1
"326",1,1965,1,2,NA,762,1
"327",2,1970,1,2,NA,NA,1
"328",2,1995,5,2,120,422,1
"329",2,2001,0,2,NA,NA,1
"330",2,1940,2,2,NA,NA,1
"331",2,1943,2,1,24,999,1
"332",1,1938,1,2,NA,NA,1
"333",2,1946,1,2,NA,NA,1
"334",1,1954,1,2,NA,873,1
"335",2,1958,1,2,NA,NA,1
"336",1,1984,5,2,NA,NA,1
"337",2,1937,2,1,70,930,1
"338",2,1962,2,1,108,951,1
"339",2,1941,2,1,100,930,1
"340",1,1968,5,1,186,910,1
"341",2,1967,3,2,NA,NA,1
"342",1,1995,5,2,78,521,1
"343",2,1953,2,2,NA,952,1
"344",1,1974,1,2,622,222,1
"345",2,1979,1,1,237,313,1
"346",2,2007,0,2,NA,NA,1
"347",2,1954,2,1,NA,NA,7
"348",1,1944,1,1,NA,NA,1
"349",2,1944,1,1,NA,NA,1
"350",1,1952,1,2,180,942,1
"351",2,1956,1,2,NA,NA,1
"352",2,1984,1,2,NA,NA,5
"353",1,1983,1,1,400,761,5
"354",1,2010,0,2,NA,NA,5
"355",2,2013,0,2,NA,NA,5
"356",2,1948,1,2,NA,530,1
"357",2,1942,2,1,NA,NA,1
"358",2,1965,1,2,300,159,1
"359",2,1989,5,2,183,312,1
"360",2,1994,5,2,200,314,1
"361",1,1959,1,2,NA,873,1
"362",2,1941,1,1,NA,NA,1
"363",1,1940,1,1,NA,942,1
"364",1,1932,1,2,NA,NA,1
"365",2,1936,1,2,NA,NA,1
"366",1,1963,1,2,NA,873,6
"367",2,1990,1,2,50,399,6
"368",2,2011,0,2,NA,NA,6
"369",2,2013,0,2,NA,NA,6
